player,position,league,squad,age
Ramy Bensebaini,DF,Bundesliga,M'Gladbach,25
Nabil Bentaleb,MF,Bundesliga,Schalke 04,26
Louis Beyer,DF,Bundesliga,M'Gladbach,20
Bartosz Bialek,FW,Bundesliga,Wolfsburg,19
Ermin Bičakčić,DF,Bundesliga,Hoffenheim,31
Leonardo Bittencourt,FW,Bundesliga,Werder Bremen,27
Jérôme Boateng,DF,Bundesliga,Bayern Munich,32
Jean-Paul Boëtius,MF,Bundesliga,Mainz 05,26
Melayro Bogarde,DF,Bundesliga,Hoffenheim,18
Dennis Borkowski,MF,Bundesliga,RB Leipzig,19
Sebastiaan Bornauw,DF,Bundesliga,Köln,21
Nassim Boujellab,MF,Bundesliga,Schalke 04,21
Dedryck Boyata,DF,Bundesliga,Hertha BSC,30
Can Bozdogan,MF,Bundesliga,Schalke 04,19
Julian Brandt,FW,Bundesliga,Dortmund,24
Josip Brekalo,FW,Bundesliga,Wolfsburg,22
Joshua Brenet,DF,Bundesliga,Hoffenheim,26
John Brooks,DF,Bundesliga,Wolfsburg,28
Daniel Brosinski,DF,Bundesliga,Mainz 05,32
Cédric Brunner,DF,Bundesliga,Arminia,27
Jacob Bruun Larsen,FW,Bundesliga,Hoffenheim,22
Marius Bülter,FW,Bundesliga,Union Berlin,27
Jonathan Burkardt,FW,Bundesliga,Mainz 05,20
Roman Bürki,GK,Bundesliga,Dortmund,30
Daniel Caligiuri,MF,Bundesliga,Augsburg,33
Emre Can,DF,Bundesliga,Dortmund,27
Koen Casteels,GK,Bundesliga,Wolfsburg,28
Gonzalo Castro,MF,Bundesliga,Stuttgart,33
Sava Cestic,DF,Bundesliga,Köln,20
Timothy Chandler,DF,Bundesliga,Eint Frankfurt,30
Kwon Chang-hoon,MF,Bundesliga,Freiburg,26
Tahith Chong,FW,Bundesliga,Werder Bremen,21
Darko Churlinov,DF,Bundesliga,Stuttgart,20
Tim Civeja,MF,Bundesliga,Augsburg,19
Kingsley Coman,FW,Bundesliga,Bayern Munich,24
Jhon Córdoba,FW,Bundesliga,Hertha BSC,27
Sergio Córdova,FW,Bundesliga,Arminia,23
Danny da Costa,DF,Bundesliga,Eint Frankfurt,27
Danny da Costa,DF,Bundesliga,Mainz 05,27
Douglas Costa,FW,Bundesliga,Bayern Munich,30
Tanguy Coulibaly,DF,Bundesliga,Stuttgart,20
Mickaël Cuisance,FW,Bundesliga,Bayern Munich,21
Matheus Cunha,FW,Bundesliga,Hertha BSC,21
Rafael Czichos,DF,Bundesliga,Köln,30
Moanes Dabour,FW,Bundesliga,Hoffenheim,28
Finn Dahmen,GK,Bundesliga,Mainz 05,22
Mahmoud Dahoud,MF,Bundesliga,Dortmund,25
Leon Dajaku,FW,Bundesliga,Union Berlin,19
Tiago Dantas,MF,Bundesliga,Bayern Munich,20
Márton Dárdai,DF,Bundesliga,Hertha BSC,19
Vladimír Darida,MF,Bundesliga,Hertha BSC,30
Alphonso Davies,DF,Bundesliga,Bayern Munich,20
Thomas Delaney,MF,Bundesliga,Dortmund,29
Kerem Demirbay,MF,Bundesliga,Leverkusen,27
Ermedin Demirović,FW,Bundesliga,Freiburg,22
Emmanuel Dennis,FW,Bundesliga,Köln,23
Mike van der Hoorn,DF,Bundesliga,Arminia,28
Moussa Diaby,FW,Bundesliga,Leverkusen,21
Daniel Didavi,FW,Bundesliga,Stuttgart,31
Javairô Dilrosun,FW,Bundesliga,Hertha BSC,22
Eren Dinkçi,FW,Bundesliga,Werder Bremen,19
Ritsu Doan,MF,Bundesliga,Arminia,22
Ji Dong-won,FW,Bundesliga,Mainz 05,29
Bas Dost,FW,Bundesliga,Eint Frankfurt,31
Aleksandar Dragović,DF,Bundesliga,Leverkusen,29
Dominick Drexler,MF,Bundesliga,Köln,30
Ondrej Duda,FW,Bundesliga,Köln,26
Erik Durm,DF,Bundesliga,Eint Frankfurt,28
Johannes Eggestein,FW,Bundesliga,Werder Bremen,22
Maximilian Eggestein,MF,Bundesliga,Werder Bremen,24
Lilian Egloff,MF,Bundesliga,Stuttgart,18
Kingsley Ehizibue,DF,Bundesliga,Köln,25
Nico Elvedi,DF,Bundesliga,M'Gladbach,24
Breel Embolo,FW,Bundesliga,M'Gladbach,24
Keita Endo,MF,Bundesliga,Union Berlin,23
Wataru Endo,MF,Bundesliga,Stuttgart,28
Patrick Erras,FW,Bundesliga,Werder Bremen,26
Ralf Fährmann,GK,Bundesliga,Schalke 04,32
Ohis Felix Uduokhai,DF,Bundesliga,Augsburg,23
Edimilson Fernandes,MF,Bundesliga,Mainz 05,24
Alfreð Finnbogason,FW,Bundesliga,Augsburg,32
Emil Forsberg,FW,Bundesliga,RB Leipzig,29
Philipp Förster,FW,Bundesliga,Stuttgart,26
Timothy Fosu-Mensah,DF,Bundesliga,Leverkusen,23
Raphael Framberger,DF,Bundesliga,Augsburg,25
Marco Friedl,DF,Bundesliga,Werder Bremen,22
Marvin Friedrich,DF,Bundesliga,Union Berlin,25
Jeremie Frimpong,FW,Bundesliga,Leverkusen,20
Niclas Füllkrug,FW,Bundesliga,Werder Bremen,28
Mijat Gaćinović,DF,Bundesliga,Hoffenheim,26
Christian Gebauer,MF,Bundesliga,Arminia,27
Theodor Gebre Selassie,DF,Bundesliga,Werder Bremen,34
Dennis Geiger,MF,Bundesliga,Hoffenheim,22
Christian Gentner,MF,Bundesliga,Union Berlin,35
Yannick Gerhardt,MF,Bundesliga,Wolfsburg,26
Hamadi Al Ghaddioui,MF,Bundesliga,Stuttgart,30
Niko Gießelmann,DF,Bundesliga,Union Berlin,29
Rafał Gikiewicz,GK,Bundesliga,Augsburg,33
Daniel Ginczek,FW,Bundesliga,Wolfsburg,29
Matthias Ginter,DF,Bundesliga,M'Gladbach,27
Robert Glatzel,FW,Bundesliga,Mainz 05,27
Serge Gnabry,FW,Bundesliga,Bayern Munich,25
Akaki Gogia,FW,Bundesliga,Union Berlin,29
Nicolás González,FW,Bundesliga,Stuttgart,22
Leon Goretzka,MF,Bundesliga,Bayern Munich,26
Jeffrey Gouweleeuw,DF,Bundesliga,Augsburg,29
Demarai Gray,FW,Bundesliga,Leverkusen,24
Michael Gregoritsch,FW,Bundesliga,Augsburg,26
Sebastian Griesbeck,MF,Bundesliga,Union Berlin,30
Vincenzo Grifo,MF,Bundesliga,Freiburg,27
Lennart Grill,GK,Bundesliga,Leverkusen,22
Florian Grillitsch,MF,Bundesliga,Hoffenheim,25
Christian Groß,MF,Bundesliga,Werder Bremen,32
Ilia Gruev,FW,Bundesliga,Werder Bremen,20
Carlos Gruezo,MF,Bundesliga,Augsburg,25
Mattéo Guendouzi,MF,Bundesliga,Hertha BSC,21
Raphaël Guerreiro,DF,Bundesliga,Dortmund,27
Josuha Guilavogui,MF,Bundesliga,Wolfsburg,30
Péter Gulácsi,GK,Bundesliga,RB Leipzig,30
Manuel Gulde,DF,Bundesliga,Freiburg,30
Robert Gumny,DF,Bundesliga,Augsburg,22
Christian Günter,DF,Bundesliga,Freiburg,28
Erling Haaland,FW,Bundesliga,Dortmund,20
Janik Haberer,MF,Bundesliga,Freiburg,26
Alexander Hack,DF,Bundesliga,Mainz 05,27
André Hahn,FW,Bundesliga,Augsburg,30
Amadou Haidara,MF,Bundesliga,RB Leipzig,23
Marcel Halstenberg,DF,Bundesliga,RB Leipzig,29
Amine Harit,FW,Bundesliga,Schalke 04,23
Marcel Hartel,MF,Bundesliga,Arminia,25
Makoto Hasebe,DF,Bundesliga,Eint Frankfurt,37
Thorgan Hazard,FW,Bundesliga,Dortmund,27
Jonas Hector,MF,Bundesliga,Köln,30
Hwang Hee-chan,FW,Bundesliga,RB Leipzig,25
Dominique Heintz,DF,Bundesliga,Freiburg,27
Benjamin Henrichs,MF,Bundesliga,RB Leipzig,24
Lucas Hernández,DF,Bundesliga,Bayern Munich,25
Patrick Herrmann,FW,Bundesliga,M'Gladbach,30
Martin Hinteregger,DF,Bundesliga,Eint Frankfurt,28
Marwin Hitz,GK,Bundesliga,Dortmund,33
Nicolas Höfler,MF,Bundesliga,Freiburg,30
Jonas Hofmann,FW,Bundesliga,M'Gladbach,28
Marco Höger,DF,Bundesliga,Köln,31
Lucas Höler,FW,Bundesliga,Freiburg,26
Matthew Hoppe,FW,Bundesliga,Schalke 04,19
Jannes Horn,DF,Bundesliga,Köln,24
Timo Horn,GK,Bundesliga,Köln,27
Lukáš Hrádecký,GK,Bundesliga,Leverkusen,31
Ajdin Hrustic,MF,Bundesliga,Eint Frankfurt,24
Florian Hübner,DF,Bundesliga,Union Berlin,30
Mats Hummels,DF,Bundesliga,Dortmund,32
Klaas-Jan Huntelaar,FW,Bundesliga,Schalke 04,37
Iago,DF,Bundesliga,Augsburg,23
Vedad Ibišević,FW,Bundesliga,Schalke 04,36
Stefan Ilsanker,MF,Bundesliga,Eint Frankfurt,31
Marcus Ingvartsen,MF,Bundesliga,Union Berlin,25
Ismail Jakobs,DF,Bundesliga,Köln,21
Tony Jantschke,DF,Bundesliga,M'Gladbach,30
Rune Jarstein,GK,Bundesliga,Hertha BSC,36
Tin Jedvaj,DF,Bundesliga,Leverkusen,25
Fredrik Jensen,FW,Bundesliga,Augsburg,23
Marco John,DF,Bundesliga,Hoffenheim,18
Luka Jović,FW,Bundesliga,Eint Frankfurt,23
Ozan Kabak,DF,Bundesliga,Schalke 04,20
Pavel Kadeřábek,DF,Bundesliga,Hoffenheim,28
Sasa Kalajdzic,FW,Bundesliga,Stuttgart,23
Daichi Kamada,MF,Bundesliga,Eint Frankfurt,24
Marcin Kamiński,DF,Bundesliga,Stuttgart,29
Kevin Kampl,MF,Bundesliga,RB Leipzig,30
Atakan Karazor,DF,Bundesliga,Stuttgart,24
Loris Karius,GK,Bundesliga,Union Berlin,27
Noah Katterbach,DF,Bundesliga,Köln,19
Yannik Keitel,MF,Bundesliga,Freiburg,21
Marc-Oliver Kempf,DF,Bundesliga,Stuttgart,26
Rani Khedira,MF,Bundesliga,Augsburg,27
Sami Khedira,MF,Bundesliga,Hertha BSC,33
Luca Kilian,DF,Bundesliga,Mainz 05,21
Joshua Kimmich,MF,Bundesliga,Bayern Munich,26
Davy Klaassen,MF,Bundesliga,Werder Bremen,28
Felix Klaus,DF,Bundesliga,Wolfsburg,28
Klauss,FW,Bundesliga,Hoffenheim,24
Philipp Klement,MF,Bundesliga,Stuttgart,28
Mateo Klimowicz,FW,Bundesliga,Stuttgart,20
Fabian Klos,FW,Bundesliga,Arminia,33
Lukas Klostermann,DF,Bundesliga,RB Leipzig,24
Justin Kluivert,FW,Bundesliga,RB Leipzig,21
Lukas Klünter,DF,Bundesliga,Hertha BSC,24
Robin Knoche,DF,Bundesliga,Union Berlin,28
Gregor Kobel,GK,Bundesliga,Stuttgart,23
Dominik Kohr,MF,Bundesliga,Mainz 05,27
Dominik Kohr,MF,Bundesliga,Eint Frankfurt,27
Sead Kolašinac,DF,Bundesliga,Schalke 04,27
Ibrahima Konaté,DF,Bundesliga,RB Leipzig,21
Filip Kostić,DF,Bundesliga,Eint Frankfurt,28
Nianzou Kouassi,DF,Bundesliga,Bayern Munich,18
Andrej Kramarić,FW,Bundesliga,Hoffenheim,29
Christoph Kramer,MF,Bundesliga,M'Gladbach,30
Max Kruse,MF,Bundesliga,Union Berlin,32
Lukas Kübler,DF,Bundesliga,Freiburg,28
Pierre Kunde,MF,Bundesliga,Mainz 05,25
Fabian Kunze,MF,Bundesliga,Arminia,22
Ahmed Kutucu,FW,Bundesliga,Schalke 04,21
Maxence Lacroix,DF,Bundesliga,Wolfsburg,20
Stefan Lainer,DF,Bundesliga,M'Gladbach,28
Michael Langer,GK,Bundesliga,Schalke 04,36
Danny Latza,MF,Bundesliga,Mainz 05,31
Valentino Lazaro,DF,Bundesliga,M'Gladbach,24
Mathew Leckie,FW,Bundesliga,Hertha BSC,30
Christopher Lenz,DF,Bundesliga,Union Berlin,26
Robert Lewandowski,FW,Bundesliga,Bayern Munich,32
Philipp Lienhart,DF,Bundesliga,Freiburg,24
Dimitris Limnios,MF,Bundesliga,Köln,22
Niklas Lomb,GK,Bundesliga,Leverkusen,27
Eduard Löwen,MF,Bundesliga,Hertha BSC,24
Jan Luca Schuler,FW,Bundesliga,Schalke 04,21
Anderson Lucoqui,DF,Bundesliga,Arminia,23
Kilian Ludewig,DF,Bundesliga,Schalke 04,20
Dodi Lukebakio,FW,Bundesliga,Hertha BSC,23
Andreas Luthe,GK,Bundesliga,Union Berlin,33
Tim Maciejewski,MF,Bundesliga,Union Berlin,19
Arne Maier,MF,Bundesliga,Arminia,22
Arne Maier,MF,Bundesliga,Hertha BSC,22
Yunus Mallı,MF,Bundesliga,Wolfsburg,29
Orel Mangala,MF,Bundesliga,Stuttgart,22
Omar Marmoush,FW,Bundesliga,Wolfsburg,22
Aarón Martín,DF,Bundesliga,Mainz 05,23
Javi Martínez,MF,Bundesliga,Bayern Munich,32
Omar Mascarell,MF,Bundesliga,Schalke 04,28
Roberto Massimo,DF,Bundesliga,Stuttgart,20
Jean-Philippe Mateta,FW,Bundesliga,Mainz 05,23
Rabbi Matondo,FW,Bundesliga,Schalke 04,20
Konstantinos Mavropanos,DF,Bundesliga,Stuttgart,23
Eric Maxim Choupo-Moting,MF,Bundesliga,Bayern Munich,31
Kevin Mbabu,DF,Bundesliga,Wolfsburg,25
Jean-Manuel Mbom,MF,Bundesliga,Werder Bremen,21
Nathan de Medina,DF,Bundesliga,Arminia,23
Joshua Mees,FW,Bundesliga,Union Berlin,24
Admir Mehmedi,MF,Bundesliga,Wolfsburg,29
Hamza Mendyl,FW,Bundesliga,Schalke 04,23
Jorge Meré,DF,Bundesliga,Köln,23
Thomas Meunier,DF,Bundesliga,Dortmund,29
Max Meyer,MF,Bundesliga,Köln,25
Maximilian Mittelstädt,DF,Bundesliga,Hertha BSC,23
Anthony Modeste,FW,Bundesliga,Köln,32
Kevin Möhwald,MF,Bundesliga,Werder Bremen,27
Niklas Moisander,DF,Bundesliga,Werder Bremen,35
Alkhaly Momo Cissé,DF,Bundesliga,Stuttgart,18
Jan Morávek,MF,Bundesliga,Augsburg,31
Mateu Morey,DF,Bundesliga,Dortmund,21
Youssoufa Moukoko,FW,Bundesliga,Dortmund,16
Nordi Mukiele,DF,Bundesliga,RB Leipzig,23
Florian Müller,GK,Bundesliga,Freiburg,23
Sebastian Müller,MF,Bundesliga,Arminia,20
Thomas Müller,MF,Bundesliga,Bayern Munich,31
Petar Musa,FW,Bundesliga,Union Berlin,22
Jamal Musiala,MF,Bundesliga,Bayern Munich,18
Shkodran Mustafi,DF,Bundesliga,Schalke 04,28
Phillipp Mwene,DF,Bundesliga,Mainz 05,27
Obite N'Dicka,DF,Bundesliga,Eint Frankfurt,21
Matija Nastasić,DF,Bundesliga,Schalke 04,27
Paul Nebel,MF,Bundesliga,Mainz 05,18
Luca Netz,DF,Bundesliga,Hertha BSC,17
Manuel Neuer,GK,Bundesliga,Bayern Munich,34
Florian Neuhaus,MF,Bundesliga,M'Gladbach,23
Jessic Ngankam,FW,Bundesliga,Hertha BSC,20
Moussa Niakhate,DF,Bundesliga,Mainz 05,24
Florian Niederlechner,FW,Bundesliga,Augsburg,30
Joakim Nilsson,DF,Bundesliga,Arminia,27
Christopher Nkunku,FW,Bundesliga,RB Leipzig,23
Håvard Nordtveit,DF,Bundesliga,Hoffenheim,30
Kasim Nuhu,DF,Bundesliga,Hoffenheim,25
Bastian Oczipka,DF,Bundesliga,Schalke 04,32
Masaya Okugawa,MF,Bundesliga,Arminia,24
Dani Olmo,MF,Bundesliga,RB Leipzig,22
Karim Onisiwo,FW,Bundesliga,Mainz 05,28
Willi Orban,DF,Bundesliga,RB Leipzig,28
Stefan Ortega,GK,Bundesliga,Arminia,28
Yuya Osako,FW,Bundesliga,Werder Bremen,30
Paulo Otávio,DF,Bundesliga,Wolfsburg,26
Reece Oxford,DF,Bundesliga,Augsburg,22
Salih Özcan,MF,Bundesliga,Köln,23
Levin Öztunalı,DF,Bundesliga,Mainz 05,24
Gonçalo Paciência,FW,Bundesliga,Schalke 04,26
Exequiel Palacios,MF,Bundesliga,Leverkusen,22
Matondo-Merveille Papela,DF,Bundesliga,Mainz 05,20
Felix Passlack,DF,Bundesliga,Dortmund,22
Benjamin Pavard,DF,Bundesliga,Bayern Munich,24
Jiří Pavlenka,GK,Bundesliga,Werder Bremen,28
Mads Pedersen,DF,Bundesliga,Augsburg,24
Peter Pekarík,DF,Bundesliga,Hertha BSC,34
Philipp Pentke,GK,Bundesliga,Hoffenheim,35
Pavao Pervan,GK,Bundesliga,Wolfsburg,33
Nils Petersen,FW,Bundesliga,Freiburg,32
Maximilian Philipp,MF,Bundesliga,Wolfsburg,27
Krzysztof Piątek,FW,Bundesliga,Hertha BSC,25
Amos Pieper,DF,Bundesliga,Arminia,23
Łukasz Piszczek,DF,Bundesliga,Dortmund,35
Marvin Plattenhardt,DF,Bundesliga,Hertha BSC,29
Alassane Pléa,FW,Bundesliga,M'Gladbach,27
Joel Pohjanpalo,FW,Bundesliga,Union Berlin,26
Joel Pohjanpalo,MF,Bundesliga,Leverkusen,26
Marin Pongračić,DF,Bundesliga,Wolfsburg,23
Stefan Posch,DF,Bundesliga,Hoffenheim,23
Yussuf Poulsen,FW,Bundesliga,RB Leipzig,26
Manuel Prietl,MF,Bundesliga,Arminia,29
Grischa Prömel,MF,Bundesliga,Union Berlin,26
Robin Quaison,FW,Bundesliga,Mainz 05,27
Nemanja Radonjić,FW,Bundesliga,Hertha BSC,25
Benito Raman,FW,Bundesliga,Schalke 04,26
Milot Rashica,FW,Bundesliga,Werder Bremen,24
Daishawn Redan,MF,Bundesliga,Hertha BSC,20
Reinier,MF,Bundesliga,Dortmund,19
Rocco Reitz,MF,Bundesliga,M'Gladbach,18
Marco Reus,MF,Bundesliga,Dortmund,31
Elvis Rexhbeçaj,MF,Bundesliga,Köln,23
Gio Reyna,FW,Bundesliga,Dortmund,18
Chris Richards,DF,Bundesliga,Bayern Munich,20
Chris Richards,DF,Bundesliga,Hoffenheim,20
Marco Richter,FW,Bundesliga,Augsburg,23
Marc Roca,MF,Bundesliga,Bayern Munich,24
Sebastian Rode,MF,Bundesliga,Eint Frankfurt,30
Jérôme Roussillon,DF,Bundesliga,Wolfsburg,28
Sebastian Rudy,DF,Bundesliga,Schalke 04,31
Sebastian Rudy,MF,Bundesliga,Hoffenheim,31
Georginio Rutter,MF,Bundesliga,Hoffenheim,18
Julian Ryerson,DF,Bundesliga,Union Berlin,23
Frederik Rønnow,GK,Bundesliga,Schalke 04,28
João Victor Santos Sá,FW,Bundesliga,Wolfsburg,26
Marcel Sabitzer,MF,Bundesliga,RB Leipzig,26
Roland Sallai,MF,Bundesliga,Freiburg,23
Lazar Samardzic,MF,Bundesliga,RB Leipzig,19
Diadie Samassékou,MF,Bundesliga,Hoffenheim,25
Jadon Sancho,FW,Bundesliga,Dortmund,20
Leroy Sané,FW,Bundesliga,Bayern Munich,25
Salif Sané,DF,Bundesliga,Schalke 04,30
Baptiste Santamaria,MF,Bundesliga,Freiburg,25
Josh Sargent,FW,Bundesliga,Werder Bremen,21
Bouna Sarr,DF,Bundesliga,Bayern Munich,29
Patrik Schick,FW,Bundesliga,Leverkusen,25
Sven Schipplock,FW,Bundesliga,Arminia,32
Xaver Schlager,MF,Bundesliga,Wolfsburg,23
Keven Schlotterbeck,DF,Bundesliga,Freiburg,23
Nico Schlotterbeck,DF,Bundesliga,Union Berlin,21
Jonathan Schmid,DF,Bundesliga,Freiburg,30
Romano Schmid,FW,Bundesliga,Werder Bremen,21
Benno Schmitz,DF,Bundesliga,Köln,26
Alessandro Schöpf,FW,Bundesliga,Schalke 04,27
Nico Schulz,DF,Bundesliga,Dortmund,27
Alexander Schwolow,GK,Bundesliga,Hertha BSC,28
Davie Selke,FW,Bundesliga,Werder Bremen,26
Suat Serdar,MF,Bundesliga,Schalke 04,23
Ryan Sessegnon,DF,Bundesliga,Hoffenheim,20
Nils Seufert,MF,Bundesliga,Arminia,24
André Silva,FW,Bundesliga,Eint Frankfurt,25
Jóan Símun Edmundsson,MF,Bundesliga,Arminia,29
Daley Sinkgraven,DF,Bundesliga,Leverkusen,25
Tobias Sippel,GK,Bundesliga,M'Gladbach,32
Ellyes Skhiri,MF,Bundesliga,Köln,25
Robert Skov,DF,Bundesliga,Hoffenheim,24
Steven Skrzybski,FW,Bundesliga,Schalke 04,28
Yann Sommer,GK,Bundesliga,M'Gladbach,32
Borna Sosa,DF,Bundesliga,Stuttgart,23
Cebio Soukou,FW,Bundesliga,Arminia,28
Djibril Sow,MF,Bundesliga,Eint Frankfurt,24
Jerry St. Juste,DF,Bundesliga,Mainz 05,24
Benjamin Stambouli,MF,Bundesliga,Schalke 04,30
Niklas Stark,DF,Bundesliga,Hertha BSC,25
Renato Steffen,FW,Bundesliga,Wolfsburg,29
Pascal Stenzel,DF,Bundesliga,Stuttgart,24
Lars Stindl,MF,Bundesliga,M'Gladbach,32
Kevin Stöger,MF,Bundesliga,Mainz 05,27
Tobias Strobl,MF,Bundesliga,Augsburg,30
Marek Suchý,DF,Bundesliga,Augsburg,32
Niklas Süle,DF,Bundesliga,Bayern Munich,25
Ádám Szalai,FW,Bundesliga,Mainz 05,33
Frederik Sørensen,DF,Bundesliga,Köln,28
Alexander Sørloth,FW,Bundesliga,RB Leipzig,25
Jonathan Tah,DF,Bundesliga,Leverkusen,25
Edmond Tapsoba,DF,Bundesliga,Leverkusen,22
Niklas Tauer,MF,Bundesliga,Mainz 05,20
Lino Tempelmann,MF,Bundesliga,Freiburg,22
Cedric Teuchert,FW,Bundesliga,Union Berlin,24
Malick Thiaw,DF,Bundesliga,Schalke 04,19
Jan Thielmann,FW,Bundesliga,Köln,18
Erik Thommy,FW,Bundesliga,Stuttgart,26
Marcus Thuram,FW,Bundesliga,M'Gladbach,23
Steffen Tigges,FW,Bundesliga,Dortmund,22
Guus Til,FW,Bundesliga,Freiburg,23
Corentin Tolisso,MF,Bundesliga,Bayern Munich,26
Ömer Toprak,DF,Bundesliga,Werder Bremen,31
Jordan Torunarigha,DF,Bundesliga,Hertha BSC,23
Almamy Touré,DF,Bundesliga,Eint Frankfurt,24
Lucas Tousart,MF,Bundesliga,Hertha BSC,23
Ibrahima Traoré,FW,Bundesliga,M'Gladbach,32
Kevin Trapp,GK,Bundesliga,Eint Frankfurt,30
Christopher Trimmel,DF,Bundesliga,Union Berlin,34
Tuta,DF,Bundesliga,Eint Frankfurt,21
Dayot Upamecano,DF,Bundesliga,RB Leipzig,22
Mark Uth,FW,Bundesliga,Schalke 04,29
Ruben Vargas,MF,Bundesliga,Augsburg,22
Miloš Veljković,DF,Bundesliga,Werder Bremen,25
Michel Vlap,MF,Bundesliga,Arminia,23
Andreas Voglsammer,MF,Bundesliga,Arminia,29
Kevin Vogt,DF,Bundesliga,Hoffenheim,29
Silas Wamangituka,DF,Bundesliga,Stuttgart,21
Wout Weghorst,FW,Bundesliga,Wolfsburg,28
Mitchell Weiser,DF,Bundesliga,Leverkusen,26
Wendell,DF,Bundesliga,Leverkusen,27
Oscar Wendt,DF,Bundesliga,M'Gladbach,35
William,FW,Bundesliga,Wolfsburg,25
William,FW,Bundesliga,Schalke 04,25
Florian Wirtz,MF,Bundesliga,Leverkusen,17
Axel Witsel,MF,Bundesliga,Dortmund,32
Hannes Wolf,FW,Bundesliga,M'Gladbach,21
Marius Wolf,DF,Bundesliga,Köln,25
Nick Woltemade,MF,Bundesliga,Werder Bremen,19
Jeong Woo-yeong,FW,Bundesliga,Freiburg,21
Joscha Wosz,DF,Bundesliga,RB Leipzig,18
Reinhold Yabo,MF,Bundesliga,Arminia,29
Amin Younes,MF,Bundesliga,Eint Frankfurt,27
Dan-Axel Zagadou,DF,Bundesliga,Dortmund,21
Denis Zakaria,MF,Bundesliga,M'Gladbach,24
Deyovaisio Zeefuik,DF,Bundesliga,Hertha BSC,22
Robin Zentner,GK,Bundesliga,Mainz 05,26
Ron-Robert Zieler,GK,Bundesliga,Köln,32
Joshua Zirkzee,FW,Bundesliga,Bayern Munich,19
Steven Zuber,DF,Bundesliga,Eint Frankfurt,29
Ismael Aaneba,FW,Ligue 1,Strasbourg,21
Yunis Abdelhamid,DF,Ligue 1,Reims,33
Mehdi Abeid,MF,Ligue 1,Nantes,28
Laurent Abergel,MF,Ligue 1,Lorient,28
Charles Abi,FW,Ligue 1,Saint-Étienne,20
Pape Abou Cisse,DF,Ligue 1,Saint-Étienne,25
Yacine Adli,MF,Ligue 1,Bordeaux,20
Nayef Aguerd,DF,Ligue 1,Rennes,24
Ruben Aguilar,DF,Ligue 1,Monaco,27
Matteo Ahlinvi,MF,Ligue 1,Nîmes,21
Cheikh Ahmadou Dieng,FW,Ligue 1,Marseille,20
Jean-Eudes Aholou,MF,Ligue 1,Monaco,26
Jean-Eudes Aholou,MF,Ligue 1,Strasbourg,26
Rayan Aït Nouri,DF,Ligue 1,Angers,19
Ludovic Ajorque,FW,Ligue 1,Strasbourg,27
Marley Aké,FW,Ligue 1,Marseille,20
Sofiane Alakouch,DF,Ligue 1,Nîmes,22
Mohamed Ali Cho,FW,Ligue 1,Angers,17
Rachid Alioui,FW,Ligue 1,Angers,28
Saturnin Allagbé,GK,Ligue 1,Dijon,27
Ibrahim Amadou,MF,Ligue 1,Angers,27
Romain Amalfitano,FW,Ligue 1,Dijon,31
Jordan Amavi,DF,Ligue 1,Marseille,26
Thierry Ambrose,FW,Ligue 1,Metz,23
Joachim Andersen,DF,Ligue 1,Lyon,24
Benjamin André,MF,Ligue 1,Lille,30
Victorien Angban,MF,Ligue 1,Metz,24
Houssem Aouar,MF,Ligue 1,Lyon,22
Adil Aouchiche,MF,Ligue 1,Saint-Étienne,18
Dennis Appiah,DF,Ligue 1,Nantes,28
Luiz Araújo,MF,Ligue 1,Lille,24
Karim Aribi,FW,Ligue 1,Nîmes,26
Roger Assalé,FW,Ligue 1,Dijon,27
Youcef Attal,DF,Ligue 1,Nice,24
Jean-Kévin Augustin,FW,Ligue 1,Nantes,23
Ludovic Baal,DF,Ligue 1,Brest,34
Loïc Bade,DF,Ligue 1,Lens,20
Stéphane Bahoken,FW,Ligue 1,Angers,28
Mitchel Bakker,DF,Ligue 1,Paris S-G,20
Dilane Bakwa,FW,Ligue 1,Bordeaux,18
Leonardo Balerdi,DF,Ligue 1,Marseille,22
Fodé Ballo-Touré,DF,Ligue 1,Monaco,24
Abdoulaye Bamba,DF,Ligue 1,Angers,30
Jonathan Bamba,MF,Ligue 1,Lille,24
Robson Bambu,DF,Ligue 1,Nice,23
Simon Banza,FW,Ligue 1,Lens,24
Danilo Barbosa,DF,Ligue 1,Nice,25
Melvin Bard,DF,Ligue 1,Lyon,20
Toma Bašić,MF,Ligue 1,Bordeaux,24
Cristian Battocchio,MF,Ligue 1,Brest,29
Paul Baysse,DF,Ligue 1,Bordeaux,32
Haris Belkebla,MF,Ligue 1,Brest,27
Jean-Ricner Bellegarde,MF,Ligue 1,Strasbourg,22
Sami Ben Amar,MF,Ligue 1,Nîmes,23
Hatem Ben Arfa,MF,Ligue 1,Bordeaux,33
Salim Ben Seghir,DF,Ligue 1,Nice,18
Wissam Ben Yedder,FW,Ligue 1,Monaco,30
Samy Benchama,MF,Ligue 1,Montpellier,20
Darío Benedetto,FW,Ligue 1,Marseille,30
Walter Benítez,GK,Ligue 1,Nice,27
Loris Benito,DF,Ligue 1,Bordeaux,29
Bilal Benkhedim,FW,Ligue 1,Saint-Étienne,19
Djamel Benlamri,DF,Ligue 1,Lyon,31
Yassine Benrahou,MF,Ligue 1,Nîmes,22
Valon Berisha,MF,Ligue 1,Reims,28
Paul Bernardoni,GK,Ligue 1,Angers,23
Juan Bernat,DF,Ligue 1,Paris S-G,28
