team,year,country,pts,value
Crystal Palace,16/17,Premier League,41,215.7
Swansea City,16/17,Premier League,41,137.1
Burnley FC,16/17,Premier League,40,81.8
Watford FC,16/17,Premier League,40,189.35
Hull City,16/17,Premier League,34,132.95
Middlesbrough FC,16/17,Premier League,28,121.75
Sunderland AFC,16/17,Premier League,24,112.5
Real Madrid,16/17,La Liga,93,743.1
FC Barcelona,16/17,La Liga,90,787.2
Atlético Madrid,16/17,La Liga,78,456.9
Sevilla FC,16/17,La Liga,72,236.4
Villarreal CF,16/17,La Liga,67,158.7
Real Sociedad,16/17,La Liga,64,110.5
Athletic Bilbao,16/17,La Liga,63,151.6
RCD Espanyol,16/17,La Liga,56,84.7
Deportivo Alavés,16/17,La Liga,55,39.8
SD Eibar,16/17,La Liga,54,52.1
Málaga CF,16/17,La Liga,46,73.9
Valencia CF,16/17,La Liga,46,286.4
Celta de Vigo,16/17,La Liga,45,95.5
UD Las Palmas,16/17,La Liga,39,55.9
Real Betis,16/17,La Liga,39,76.8
Deportivo de La Coruña,16/17,La Liga,36,92.8
CD Leganés,16/17,La Liga,35,47.3
Sporting Gijón,16/17,La Liga,31,50.5
CA Osasuna,16/17,La Liga,22,36.9
Granada CF,16/17,La Liga,20,85.5
Bayern Munchen,15/16,Bundesliga,88,568.1
Borussia Dortmund,15/16,Bundesliga,78,302.1
Bayer Leverkusen,15/16,Bundesliga,60,189.65
Bor. Monchengladbach,15/16,Bundesliga,55,140.9
FC Schalke 04,15/16,Bundesliga,52,192.7
1. FSV Mainz 05,15/16,Bundesliga,50,58.93
Hertha BSC,15/16,Bundesliga,50,62.73
VfL Wolfsburg,15/16,Bundesliga,45,238.4
1. FC Köln,15/16,Bundesliga,43,53.8
Hamburger SV,15/16,Bundesliga,41,53
FC Ingolstadt 04,15/16,Bundesliga,40,27.45
FC Augsburg,15/16,Bundesliga,38,55.95
Werder Bremen,15/16,Bundesliga,38,54.6
SV Darmstadt 98,15/16,Bundesliga,38,18.75
1899 Hoffenheim,15/16,Bundesliga,37,91.85
Eintracht Frankfurt,15/16,Bundesliga,36,69.3
VfB Stuttgart,15/16,Bundesliga,33,74.05
Hannover 96,15/16,Bundesliga,25,59.95
Leicester City,15/16,Premier League,81,91.25
Arsenal FC,15/16,Premier League,71,408.6
Tottenham Hotspur,15/16,Premier League,70,253.75
Manchester City,15/16,Premier League,66,452.75
Manchester United,15/16,Premier League,66,374.15
Southampton FC,15/16,Premier League,63,187.5
West Ham United,15/16,Premier League,62,185.2
Liverpool FC,15/16,Premier League,60,325
Stoke City,15/16,Premier League,51,127.25
Chelsea FC,15/16,Premier League,50,579.8
Everton FC,15/16,Premier League,47,204.13
Swansea City,15/16,Premier League,47,138.2
Watford FC,15/16,Premier League,45,110.13
West Bromwich Albion,15/16,Premier League,43,117
Crystal Palace,15/16,Premier League,42,121
AFC Bournemouth,15/16,Premier League,42,68.03
Sunderland AFC,15/16,Premier League,39,128.25
Newcastle United,15/16,Premier League,37,200.65
Norwich City,15/16,Premier League,34,103.75
Aston Villa,15/16,Premier League,17,112.3
FC Barcelona,15/16,La Liga,91,618.5
Real Madrid,15/16,La Liga,90,700.5
Atlético Madrid,15/16,La Liga,88,336
Villarreal CF,15/16,La Liga,64,115.3
Athletic Bilbao,15/16,La Liga,62,122.9
Celta de Vigo,15/16,La Liga,60,63.8
Sevilla FC,15/16,La Liga,52,186.5
Málaga CF,15/16,La Liga,48,78.2
Real Sociedad,15/16,La Liga,48,122.25
Real Betis,15/16,La Liga,45,72.45
Valencia CF,15/16,La Liga,44,254.5
UD Las Palmas,15/16,La Liga,44,29.25
SD Eibar,15/16,La Liga,43,45.95
RCD Espanyol,15/16,La Liga,43,61.7
Deportivo de La Coruña,15/16,La Liga,42,51.35
Sporting Gijón,15/16,La Liga,39,30.5
Granada CF,15/16,La Liga,39,73.2
Rayo Vallecano,15/16,La Liga,38,53.8
Getafe CF,15/16,La Liga,36,55.15
Levante UD,15/16,La Liga,32,68.2
Bayern Munchen,14/15,Bundesliga,79,566
VfL Wolfsburg,14/15,Bundesliga,69,143.48
Bor. Monchengladbach,14/15,Bundesliga,66,117.28
Bayer Leverkusen,14/15,Bundesliga,61,162.55
FC Augsburg,14/15,Bundesliga,49,40.8
FC Schalke 04,14/15,Bundesliga,48,203.8
Borussia Dortmund,14/15,Bundesliga,46,294.6
1899 Hoffenheim,14/15,Bundesliga,44,103.98
Eintracht Frankfurt,14/15,Bundesliga,43,59.45
Werder Bremen,14/15,Bundesliga,43,52.2
1. FSV Mainz 05,14/15,Bundesliga,40,49.4
1. FC Köln,14/15,Bundesliga,40,44.65
Hannover 96,14/15,Bundesliga,37,61.6
VfB Stuttgart,14/15,Bundesliga,36,91.95
Hertha BSC,14/15,Bundesliga,35,63.58
Hamburger SV,14/15,Bundesliga,35,76.4
SC Freiburg,14/15,Bundesliga,34,62.6
SC Paderborn 07,14/15,Bundesliga,31,20.95
Chelsea FC,14/15,Premier League,87,526.1
Manchester City,14/15,Premier League,79,478
Arsenal FC,14/15,Premier League,75,404.35
Manchester United,14/15,Premier League,70,522.4
Tottenham Hotspur,14/15,Premier League,64,298.25
Liverpool FC,14/15,Premier League,62,285
Southampton FC,14/15,Premier League,60,150.4
Swansea City,14/15,Premier League,56,107.7
Stoke City,14/15,Premier League,54,128.85
Crystal Palace,14/15,Premier League,48,89.3
Everton FC,14/15,Premier League,47,177.5
West Ham United,14/15,Premier League,47,123
West Bromwich Albion,14/15,Premier League,44,100.6
Leicester City,14/15,Premier League,41,55.85
Newcastle United,14/15,Premier League,39,139.85
Sunderland AFC,14/15,Premier League,38,115.25
Aston Villa,14/15,Premier League,38,127
Hull City,14/15,Premier League,35,122.25
Burnley FC,14/15,Premier League,33,36.75
